-42,62
-40,53
-41,0,-47
-46,0,-44
-49,1,-44
-49,2,-43
-49,4,-41
-49,5,-43
-47,4,-47
-46,5,-45
-45,3,-47
-45,2,-47
-45,2,-47
-46,2,-46
-46,2,-46
-46,3,-45
-47,3,-45
-46,2,-47
-46,3,-45
-47,3,-45
-45,3,-47
-47,2,-46
-46,3,-45
-46,3,-46
-47,2,-45
-45,2,-45
-46,2,-46
-46,3,-45
-47,3,-46
-48,3,-46
-49,3,-46
-55,2,-46
-58,2,-49
-60,0,-52
-61,1,-50
-63,2,-47
-50,5,-36
-38,7,-19
-40,7,21
-19,10,51
-18,10,56
-20,29,63
8,21,74
-12,15,76
-5,13,65
-8,13,60
-22,15,53
-24,15,54
-27,13,58
-26,12,57
-24,13,57
-23,14,58
-19,14,60
-19,13,57
-20,14,57
-21,14,58
-21,14,59
-20,13,59
-20,13,59
-22,14,59
-22,14,59
-21,13,59
-20,13,59
-20,13,58
-19,13,58
-20,14,59
-20,13,60
-20,12,59
-21,12,56
-21,14,59
-20,14,59
-20,14,60
-20,14,59
-20,13,59
-20,13,58
-21,13,58
-20,13,59
-19,13,58
-19,13,58
-20,14,58
-21,14,60
-21,14,59
-20,13,58
-20,13,58
-19,13,58
-19,13,59
-19,14,60
-19,14,60
-19,14,59
-20,14,58
-20,14,58
-20,14,59
-19,14,59
-19,13,59
-19,13,59
-19,14,58
-20,15,58
-19,15,60
-19,13,60
-19,12,58
-19,13,58
-20,14,59
-19,14,59
-19,14,59
-19,14,59
-20,13,59
-20,13,58
-20,13,58
-19,13,60
-18,14,60
-18,14,59
-18,15,58
-19,14,59
-19,13,59
-19,13,59
-19,13,58
-19,13,59
-19,13,59
-19,13,59
-19,13,59
-19,13,59
-19,13,59
-19,13,59
-19,13,59
-19,13,59
-19,13,59
-19,13,58
-19,15,60
-19,14,60
-20,12,58
-19,13,58
-18,14,59
-18,14,59
-18,13,59
-19,13,59
-19,13,59
-20,14,58
-20,15,59
-18,14,59
-18,13,59
-19,12,58
-21,12,59
-20,12,59
-20,13,59
-20,13,60
-19,13,61
-19,13,61
-20,12,59
-22,10,59
-20,9,60
-21,9,58
-22,9,58
